label,H,n_dates,n_indep,avg_names,ic,ic_med,ic_sd,icir,ic_pos,t_ic_nw,t_ic_non,top_ann,bot_ann,ls_ann,sharpe_top,sharpe_ls,t_top,t_ls,mono,hit_ex,dd_top,dd_ls,skew_ls,dsd_ls,DSR,sr_star,N_trials,turnover,to_ann,net_base,net_conservative,net_stressed,nsharpe_base
b_liq,1,1911,1911,543.780743,0.009993,0.010851,0.092298,0.108273,0.552067,4.734383,4.733144,-0.040532,0.077736,-0.118268,-0.522294,-1.027985,-1.438661,-2.831591,-0.044993,0.461705,-0.32137,-0.656913,0.372415,0.075472,,,,,,,,,
b_liq,2,1910,955,543.464398,0.007785,0.007001,0.090094,0.086406,0.537173,2.67127,2.669437,-0.039612,0.076676,-0.116289,-0.502305,-1.001405,-1.380916,-2.752104,-0.055624,0.463235,-0.3177,-0.650018,0.232676,0.075134,,,,,,,,,
b_liq,3,1909,637,543.153483,0.005578,0.006222,0.089797,0.06212,0.529073,1.567792,1.566521,-0.038583,0.071066,-0.109649,-0.487583,-0.942966,-1.343793,-2.598005,-0.063511,0.463186,-0.320333,-0.636153,0.229946,0.073153,,,,,,,,,
b_liq,5,1907,382,542.556896,0.001853,0.002521,0.089181,0.020774,0.51075,0.405978,0.404603,-0.040595,0.068855,-0.10945,-0.523454,-0.946972,-1.440145,-2.609194,-0.085627,0.461222,-0.319033,-0.63081,0.055818,0.07409,,,,,,,,,
b_liq,10,1902,191,541.133544,-0.00402,-0.009151,0.087685,-0.045845,0.464774,-0.632977,-0.633651,-0.043465,0.05422,-0.097685,-0.569704,-0.841618,-1.567857,-2.315577,-0.119141,0.456603,-0.328235,-0.594449,0.232223,0.069471,,,,,,,,,
b_liq,21,1891,91,538.391327,-0.011071,-0.008476,0.086584,-0.127868,0.461132,-1.215951,-1.215769,-0.038484,0.040599,-0.079082,-0.528563,-0.67833,-1.450142,-1.866315,-0.131824,0.454378,-0.28888,-0.523686,0.026617,0.073084,,,,,,,,,
b_liq,42,1870,45,533.325134,-0.016623,-0.020865,0.087345,-0.190317,0.430481,-1.275031,-1.268656,-0.033964,0.039581,-0.073545,-0.477385,-0.610852,-1.313827,-1.65259,-0.154477,0.439232,-0.261369,-0.512237,0.038787,0.074583,,,,,,,,,
b_liq,63,1849,30,528.711195,-0.018106,-0.021888,0.086404,-0.20955,0.425635,-1.142047,-1.136659,-0.02994,0.040105,-0.070044,-0.405438,-0.566973,-1.053099,-1.495797,-0.165229,0.432601,-0.236692,-0.500907,0.153346,0.079297,,,,,,,,,
b_liq,84,1828,22,525.27954,-0.019574,-0.016272,0.083441,-0.234585,0.415755,-1.103111,-1.075208,-0.028499,0.041465,-0.069965,-0.376338,-0.555883,-0.995062,-1.482819,-0.181533,0.430732,-0.235973,-0.488157,-0.032265,0.086008,,,,,,,,,
b_liq,126,1786,15,518.045913,-0.025531,-0.021829,0.081081,-0.314887,0.395297,-1.200048,-1.208681,-0.026268,0.051625,-0.077893,-0.361313,-0.606419,-0.89857,-1.528843,-0.240456,0.423168,-0.238261,-0.527183,0.074542,0.092597,,,,,,,,,
b_liq,189,1723,10,507.342426,-0.029077,-0.028673,0.073281,-0.396791,0.354034,-1.220923,-1.173654,-0.029981,0.055442,-0.085423,-0.514284,-0.686581,-1.236315,-1.766584,-0.276575,0.406342,-0.235152,-0.518381,-0.24077,0.104979,,,,,,,,,
b_lowvol,1,1911,1911,544.130822,0.035903,0.026721,0.146645,0.244829,0.582418,10.705499,10.702697,-0.038188,-0.061792,0.023604,-0.400891,0.124494,-1.104256,0.34292,-0.039342,0.462603,-0.45805,-0.547362,0.472914,0.112311,,,,,,,,,
b_lowvol,2,1910,955,543.810471,0.033666,0.024936,0.151214,0.222637,0.573822,6.88286,6.878573,-0.039106,-0.054763,0.015657,-0.392545,0.079366,-1.081358,0.217982,-0.038699,0.465597,-0.457869,-0.54749,0.456773,0.115945,,,,,,,,,
b_lowvol,3,1909,637,543.493452,0.033259,0.022579,0.15326,0.217008,0.571503,5.476869,5.474481,-0.0404,-0.052225,0.011825,-0.402521,0.060564,-1.108914,0.164517,-0.046348,0.465026,-0.455794,-0.552896,0.409225,0.113437,,,,,,,,,
b_lowvol,5,1907,382,542.888306,0.033489,0.027149,0.154353,0.216967,0.568956,4.240143,4.235493,-0.041566,-0.051057,0.009492,-0.41697,0.048356,-1.148419,0.133042,-0.039183,0.463782,-0.448451,-0.550248,0.300184,0.113212,,,,,,,,,
b_lowvol,10,1902,191,541.450053,0.033453,0.036038,0.154031,0.217182,0.583596,2.998613,2.989935,-0.04481,-0.053862,0.009052,-0.449364,0.045474,-1.239059,0.126729,-0.034089,0.459196,-0.44121,-0.533972,0.392197,0.116453,,,,,,,,,
