factor,h,ic,t,null_t95,keep,n_dates,n_null
mom_1_0,5,-0.015843162140849104,-2.618858266430866,1.844427870414273,True,293,426
mom_2_0,5,-0.008338249474313447,-1.244462499747562,1.7719465924602857,False,293,426
mom_3_1,5,0.01086625507797004,1.713836554362824,1.8443552500528955,False,293,426
mom_6_1,5,0.016149260425927944,2.2613108179943637,2.290104575552591,False,293,426
mom_12_1,5,0.021176857169296088,2.555168873535253,3.1042121848729503,False,293,426
mom_12_6,5,0.0191102892078795,2.8614501908565613,2.5797655297796727,True,293,426
mom_9_1,5,0.0223204381531272,2.827161604411597,2.9462041194538062,False,293,426
mom_accel,5,-0.013290840512562027,-2.242490960013013,2.3377660399090794,False,293,426
vol_20,5,-0.030801539790799172,-3.825195066254561,3.568350821104443,True,293,426
vol_60,5,-0.03424552429024025,-3.736490690605108,3.6391759973220483,True,293,426
vol_252,5,-0.03638445099165808,-3.6692644218560906,3.5177765035771476,True,293,426
vol_ratio_20_120,5,-0.004555289018127607,-1.0889292006593476,2.0657097005729854,False,293,426
voladj_mom_6_1,5,0.021036321629079393,3.183866880680316,1.7895116789097303,True,293,426
voladj_mom_12_1,5,0.0237460631049286,3.0670841417487718,2.435374781640216,True,293,426
mom_consist_126,5,0.027881884551332028,4.832308157684728,3.395712319834403,True,293,426
fip_6,5,0.002510233475729988,0.5770490329803128,2.627271928116193,False,293,426
intraday_mom_126,5,0.020998899834021784,3.377928914521107,1.901545962213246,True,293,426
overnight_mom_126,5,-0.012068432082285077,-2.1886436077511946,3.769408544852236,False,293,426
intraday_mom_21,5,-0.010892639800923727,-1.8794506558504145,2.06818335414148,False,293,426
overnight_mom_21,5,-0.011382297560864575,-2.550504186978439,3.101107415795778,False,293,426
prox_52w,5,0.03129357507159588,3.608906031770716,2.539154910785904,True,293,426
prox_52w_now,5,0.019512132429372022,2.190622500752352,2.338626990156454,False,293,426
dist_low_52w,5,-0.002022394249781216,-0.30524831995571244,3.2173838737869627,False,293,426
rev_1w,5,-0.030538578271335104,-5.39605782251849,1.8302915440408631,True,293,426
rev_2w,5,-0.022038210632830617,-3.6968965855768716,1.767845212846682,True,293,426
rev_1m_scaled,5,-0.015349480077716172,-2.8272036281875814,1.7907242091212667,True,293,426
max5_21,5,-0.03211738706676493,-4.690012927370336,3.3982459760687025,True,293,426
min5_21,5,0.02144423953105551,2.428599434557668,3.3791786907347783,False,293,426
beta_126,5,-0.0024643720143307647,-0.28744759281845583,2.7136672740377854,False,257,391
beta_252,5,0.0016920598128312737,0.18490669525943365,2.5437863332789377,False,221,355
