equity-only training rows 124,948; the floor admits 29.0% of them

=== entry-only vs population filter, medians over the same grid ===
             cost  gross    ann  excess     ir  sharpe  maxdd  hold   cash    ntr
mode                                                                             
entry_only  0.056  0.373  0.315   0.018  0.083   1.307 -0.358  20.0  0.013  400.5
population  0.088  0.381  0.298   0.001 -0.045   1.320 -0.306  20.0  0.003  434.0

=== top 16 by IR ===
      mode  univ  slots  entry  exit  rebal   ann  bench  gross  cost  excess    ir  sharpe  maxdd  cash  hold  ntr  yr_pos  yr_min
entry_only   750     15     30    60      1 0.395  0.297  0.460 0.065   0.098 0.612   1.600 -0.321 0.006  20.0  612     0.8  -0.045
entry_only   750     15     22    60      1 0.394  0.297  0.458 0.063   0.097 0.602   1.607 -0.321 0.016  20.0  595     0.8  -0.052
entry_only   750     10     20    60      1 0.385  0.297  0.445 0.060   0.088 0.522   1.442 -0.402 0.004  25.0  344     0.4  -0.092
entry_only   750     10     15    60      1 0.384  0.297  0.444 0.059   0.087 0.517   1.443 -0.402 0.007  25.0  340     0.4  -0.097
entry_only   750     12     24    48      1 0.382  0.297  0.456 0.074   0.085 0.477   1.471 -0.357 0.005  20.0  533     0.6  -0.082
entry_only   750     10     20    40      1 0.377  0.297  0.458 0.081   0.080 0.428   1.403 -0.361 0.006  20.0  462     0.6  -0.101
entry_only   750     12     24    48      2 0.368  0.297  0.424 0.056   0.071 0.419   1.450 -0.371 0.009  20.0  406     0.6  -0.045
entry_only   750     10     20    25      2 0.369  0.297  0.451 0.081   0.072 0.406   1.369 -0.385 0.012  20.0  468     0.4  -0.074
entry_only   500     12     24    48      2 0.368  0.297  0.421 0.053   0.071 0.405   1.456 -0.371 0.006  30.0  384     0.6  -0.051
population   750     10     15    60      4 0.390  0.297  0.451 0.060   0.093 0.400   1.715 -0.205 0.005  40.0  230     0.6  -0.127
entry_only   750     10     20    40      2 0.366  0.297  0.432 0.067   0.069 0.396   1.374 -0.384 0.008  20.0  374     0.4  -0.103
population   750     10     20    60      4 0.388  0.297  0.449 0.060   0.091 0.390   1.704 -0.205 0.002  40.0  231     0.6  -0.131
population   750     10     20    25      2 0.375  0.297  0.480 0.105   0.078 0.374   1.475 -0.319 0.003  20.0  477     0.4  -0.110
entry_only   750     10     20    60      2 0.367  0.297  0.415 0.048   0.070 0.372   1.401 -0.381 0.007  30.0  272     0.4  -0.119
entry_only   750     12     18    48      1 0.363  0.297  0.436 0.073   0.066 0.365   1.422 -0.352 0.015  20.0  522     0.6  -0.086
population   750     10     15    25      2 0.373  0.297  0.477 0.104   0.075 0.363   1.465 -0.319 0.009  20.0  471     0.4  -0.108

=== entry-only, cost at or under 5%, best by IR ===
      mode  univ  slots  entry  exit  rebal   ann  bench  gross  cost  excess    ir  sharpe  maxdd  cash  hold  ntr  yr_pos  yr_min
entry_only   750     10     20    60      2 0.367  0.297  0.415 0.048   0.070 0.372   1.401 -0.381 0.007  30.0  272     0.4  -0.119
entry_only   750     10     15    60      2 0.364  0.297  0.410 0.046   0.067 0.359   1.401 -0.381 0.016  30.0  261     0.4  -0.128
entry_only   500     15     30    90      4 0.358  0.297  0.387 0.029   0.061 0.344   1.540 -0.317 0.007  40.0  257     0.4  -0.041
entry_only   500     10     20    40      4 0.357  0.297  0.402 0.045   0.059 0.286   1.450 -0.322 0.019  40.0  258     0.4  -0.117
entry_only   500     10     15    40      4 0.353  0.297  0.398 0.045   0.056 0.270   1.439 -0.322 0.027  40.0  255     0.4  -0.127
entry_only   750     10     20    40      4 0.348  0.297  0.396 0.049   0.051 0.252   1.409 -0.322 0.024  20.0  281     0.4  -0.117
entry_only   750     15     30    60      2 0.335  0.297  0.384 0.049   0.038 0.227   1.389 -0.349 0.005  30.0  461     0.4  -0.080
entry_only   750     10     15    40      4 0.343  0.297  0.391 0.048   0.045 0.224   1.394 -0.322 0.031  20.0  278     0.4  -0.127
entry_only   500     15     22    90      4 0.339  0.297  0.368 0.029   0.042 0.217   1.482 -0.317 0.014  40.0  257     0.4  -0.082
entry_only   750     15     30    90      4 0.335  0.297  0.365 0.030   0.037 0.202   1.440 -0.317 0.007  40.0  273     0.4  -0.058
entry_only   750     10     20    60      4 0.338  0.297  0.378 0.040   0.041 0.195   1.392 -0.306 0.015  40.0  225     0.6  -0.131
entry_only   750     15     30    37      4 0.330  0.297  0.379 0.049   0.033 0.177   1.379 -0.347 0.023  20.0  471     0.4  -0.090
