  cap=0.45 done (336)
  cap=0.35 done (672)

=== does the floor ever fire? ===
             pass_rate  dates_no_name  dates_short  n_dates   cash  excess     ir  sharpe  maxdd
gate                                                                                            
above200         0.721            0.0          0.0    235.0  0.002  -0.019 -0.070   1.120 -0.340
above200_50      0.529            0.0          1.0    235.0  0.005  -0.161 -0.895   0.686 -0.332
none             1.000            0.0          0.0    235.0  0.002  -0.004  0.018   1.155 -0.372
npos3            0.372            0.0          0.0    235.0  0.003  -0.004 -0.002   1.152 -0.349
strict           0.065            1.0         32.0    235.0  0.065  -0.392 -2.075  -0.644 -0.478
trend_npos3      0.296            0.0          0.0    235.0  0.003  -0.029 -0.117   1.102 -0.327
trend_npos4      0.108            0.0          8.0    235.0  0.016  -0.239 -1.451   0.345 -0.332

=== top 20 by IR ===
 cap  univ        gate  slots  entry  exit  rebal   ann  excess    ir  sharpe  maxdd  cash  dates_short  hold  yr_pos  yr_min
0.45   750       npos3     10     20    30      2 0.437   0.140 0.719   1.663 -0.339 0.001            0  20.0     0.6  -0.021
0.45   750       npos3     10     15    30      2 0.420   0.123 0.636   1.617 -0.339 0.008            0  20.0     0.6  -0.058
0.45   750       npos3     10     20    25      2 0.420   0.123 0.628   1.593 -0.337 0.001            0  20.0     0.8  -0.084
0.45   750        none     10     20    30      2 0.407   0.110 0.621   1.438 -0.392 0.001            0  20.0     0.8  -0.008
0.45   750       npos3     10     15    25      2 0.415   0.117 0.605   1.580 -0.337 0.009            0  20.0     0.8  -0.093
0.45   750 trend_npos3     10     20    30      2 0.417   0.119 0.557   1.675 -0.291 0.001            0  20.0     0.4  -0.071
0.45   750        none     10     15    30      2 0.393   0.096 0.551   1.400 -0.392 0.006            0  20.0     0.8  -0.032
0.45   500       npos3     10     15    30      2 0.403   0.106 0.533   1.551 -0.339 0.002            0  20.0     0.6  -0.090
0.45   750 trend_npos3     10     15    30      2 0.411   0.114 0.532   1.659 -0.291 0.009            0  20.0     0.4  -0.078
0.45   750       npos3     12     24    30      2 0.387   0.089 0.513   1.546 -0.352 0.003            0  20.0     0.6  -0.087
0.45   750 trend_npos3     10     20    25      2 0.406   0.109 0.509   1.627 -0.291 0.001            0  20.0     0.4  -0.114
0.45   750       npos3     12     18    30      2 0.386   0.088 0.508   1.548 -0.352 0.013            0  20.0     0.6  -0.074
0.45   500       npos3     10     20    30      2 0.397   0.100 0.507   1.534 -0.339 0.000            0  20.0     0.6  -0.090
0.45   750 trend_npos3     10     15    25      2 0.403   0.105 0.494   1.619 -0.291 0.011            0  20.0     0.4  -0.121
0.35   750       npos3     10     20    25      2 0.387   0.090 0.475   1.459 -0.374 0.001            0  20.0     0.4  -0.115
0.45   750        none     12     24    30      2 0.372   0.075 0.469   1.407 -0.372 0.002            0  20.0     0.6  -0.053
0.45   750       npos3     12     18    36      2 0.380   0.083 0.461   1.526 -0.345 0.009            0  20.0     0.4  -0.133
0.35   750 trend_npos3     10     20    25      2 0.392   0.095 0.460   1.551 -0.326 0.002            0  20.0     0.4  -0.118
0.45   500       npos3     10     15    25      2 0.386   0.089 0.459   1.486 -0.337 0.004            0  20.0     0.6  -0.083
0.45   750        none     12     18    30      2 0.370   0.073 0.456   1.402 -0.372 0.011            0  20.0     0.4  -0.041
