  equal done (180)

=== coverage cap ON vs OFF, on the identical grid ===
             ic    ic_t   quint  quint_t  excess      ir  sharpe   maxdd
cov_cap                                                                 
False    0.0400  4.8422  0.0073   2.9107  0.0551  0.2994  1.3498 -0.3560
True     0.0444  5.7975  0.0082   3.4220  0.0194  0.1041  1.2334 -0.3896

=== top 18 by IR ===
 cap  cov_cap  univ        gate  slots  entry  exit  rebal   ic  ic_t  topk_t  quint  quint_t   ann  excess    ir  sharpe  maxdd  cash  min_names  dates_short  hold  yr_pos  yr_min  w_ownership  w_risk  w_momentum  w_quality  w_reversal
0.45    False   750       npos3     10     20    30      2 0.04 4.832   2.196  0.007    2.911 0.437   0.140 0.719   1.663 -0.339 0.001         87            0  20.0     0.6  -0.021        0.099   0.196       0.304      0.299       0.103
0.40    False   750       npos3     10     20    30      2 0.04 4.842   2.360  0.007    2.903 0.422   0.125 0.649   1.604 -0.339 0.001         87            0  20.0     0.6  -0.068        0.104   0.201       0.317      0.273       0.106
0.45    False   750       npos3     10     15    30      2 0.04 4.832   2.196  0.007    2.911 0.420   0.123 0.636   1.617 -0.339 0.008         87            0  20.0     0.6  -0.058        0.099   0.196       0.304      0.299       0.103
0.45    False   750        none     10     20    30      2 0.04 4.832   2.196  0.007    2.911 0.407   0.110 0.621   1.438 -0.392 0.001        277            0  20.0     0.8  -0.008        0.099   0.196       0.304      0.299       0.103
0.40    False   750        none     10     20    30      2 0.04 4.842   2.360  0.007    2.903 0.400   0.103 0.590   1.426 -0.392 0.001        277            0  20.0     0.6  -0.014        0.104   0.201       0.317      0.273       0.106
0.40    False   750       npos3     10     15    30      2 0.04 4.842   2.360  0.007    2.903 0.407   0.110 0.575   1.569 -0.339 0.009         87            0  20.0     0.6  -0.080        0.104   0.201       0.317      0.273       0.106
0.45    False   750 trend_npos3     10     20    30      2 0.04 4.832   2.196  0.007    2.911 0.417   0.119 0.557   1.675 -0.291 0.001         11            0  20.0     0.4  -0.071        0.099   0.196       0.304      0.299       0.103
0.45    False   750        none     10     15    30      2 0.04 4.832   2.196  0.007    2.911 0.393   0.096 0.551   1.400 -0.392 0.006        277            0  20.0     0.8  -0.032        0.099   0.196       0.304      0.299       0.103
0.40    False   750        none     10     15    30      2 0.04 4.842   2.360  0.007    2.903 0.391   0.094 0.546   1.405 -0.392 0.008        277            0  20.0     0.6  -0.036        0.104   0.201       0.317      0.273       0.106
0.45    False   500       npos3     10     15    30      2 0.04 4.832   2.196  0.007    2.911 0.403   0.106 0.533   1.551 -0.339 0.002         87            0  20.0     0.6  -0.090        0.099   0.196       0.304      0.299       0.103
0.45    False   750 trend_npos3     10     15    30      2 0.04 4.832   2.196  0.007    2.911 0.411   0.114 0.532   1.659 -0.291 0.009         11            0  20.0     0.4  -0.078        0.099   0.196       0.304      0.299       0.103
0.45    False   500       npos3     10     20    30      2 0.04 4.832   2.196  0.007    2.911 0.397   0.100 0.507   1.534 -0.339 0.000         87            0  20.0     0.6  -0.090        0.099   0.196       0.304      0.299       0.103
0.40    False   750 trend_npos3     10     20    30      2 0.04 4.842   2.360  0.007    2.903 0.403   0.106 0.501   1.632 -0.291 0.002         11            0  20.0     0.4  -0.091        0.104   0.201       0.317      0.273       0.106
0.40    False   750 trend_npos3     10     15    30      2 0.04 4.842   2.360  0.007    2.903 0.396   0.099 0.466   1.616 -0.291 0.011         11            0  20.0     0.4  -0.087        0.104   0.201       0.317      0.273       0.106
0.45    False   750       npos3     12     24    36      2 0.04 4.832   2.196  0.007    2.911 0.377   0.079 0.440   1.509 -0.345 0.001         87            0  20.0     0.4  -0.133        0.099   0.196       0.304      0.299       0.103
0.45    False   500        none     10     15    30      2 0.04 4.832   2.196  0.007    2.911 0.372   0.075 0.432   1.357 -0.392 0.002        277            0  20.0     0.6  -0.035        0.099   0.196       0.304      0.299       0.103
0.40    False   750       npos3     12     24    36      2 0.04 4.842   2.360  0.007    2.903 0.375   0.078 0.430   1.516 -0.345 0.004         87            0  20.0     0.4  -0.148        0.104   0.201       0.317      0.273       0.106
0.40    False   500       npos3     10     15    30      2 0.04 4.842   2.360  0.007    2.903 0.378   0.081 0.425   1.465 -0.339 0.003         87            0  20.0     0.6  -0.127        0.104   0.201       0.317      0.273       0.106
