33 factors cleared the placebo screen at some horizon

    theme              factor   n      first       last      ic       t   ic_h1    t_h1   ic_h2    t_h2  same_sign
liquidity      volume_shock_5 293 2018-11-27 2024-10-25  0.0052  1.1954 -0.0005 -0.0785  0.0108  2.0030      False
 momentum     mom_consist_126 293 2018-11-27 2024-10-25  0.0330  5.3533  0.0490  4.7253  0.0172  2.6420       True
 momentum    intraday_mom_126 293 2018-11-27 2024-10-25  0.0337  4.9158  0.0503  4.3676  0.0171  2.3686       True
 momentum            prox_52w 293 2018-11-27 2024-10-25  0.0454  4.8551  0.0485  2.7882  0.0423  5.9912       True
 momentum     voladj_mom_12_1 293 2018-11-27 2024-10-25  0.0419  4.8297  0.0436  2.8087  0.0401  5.1123       True
 momentum            mom_12_6 293 2018-11-27 2024-10-25  0.0347  4.6404  0.0462  3.4247  0.0233  3.6118       True
 momentum      voladj_mom_6_1 293 2018-11-27 2024-10-25  0.0312  4.3392  0.0316  2.6429  0.0307  3.8314       True
 momentum     trend_slope_120 293 2018-11-27 2024-10-25  0.0291  3.9887  0.0222  1.8248  0.0361  4.4212       True
 momentum        prox_52w_now 293 2018-11-27 2024-10-25  0.0373  3.9145  0.0417  2.3415  0.0329  4.7233       True
 momentum           mom_accel 293 2018-11-27 2024-10-25 -0.0242 -3.7494 -0.0274 -2.6666 -0.0210 -2.6738       True
 momentum             mom_6_1 293 2018-11-27 2024-10-25  0.0280  3.6680  0.0270  2.1424  0.0290  3.3310       True
 momentum         dist_200dma 293 2018-11-27 2024-10-25  0.0297  3.5961  0.0268  1.8747  0.0325  3.9103       True
 momentum             mom_3_1 293 2018-11-27 2024-10-25  0.0198  3.1241  0.0139  1.2967  0.0258  3.7419       True
 momentum             mom_2_0 293 2018-11-27 2024-10-25  0.0068  1.0404  0.0030  0.2663  0.0105  1.5858       True
 momentum          dist_50dma 293 2018-11-27 2024-10-25 -0.0040 -0.6417 -0.0125 -1.1624  0.0044  0.6883      False
ownership          deliv_z_21 222 2020-05-12 2024-10-25  0.0276  6.2429  0.0254  3.7289  0.0298  5.2598       True
ownership         deliv_chg_5 244 2019-11-28 2024-10-25  0.0152  4.0934  0.0090  1.6514  0.0214  4.2813       True
ownership        deliv_pct_60 244 2019-11-28 2024-10-25  0.0246  3.4072  0.0147  1.4546  0.0346  3.3541       True
ownership         deliv_trend 235 2020-01-31 2024-10-25  0.0134  3.1791  0.0063  0.9267  0.0204  4.1022       True
  quality    margin_stability 142 2021-12-03 2024-10-25 -0.0351 -5.5226 -0.0281 -2.8325 -0.0421 -5.3034       True
  quality gross_profitability  63 2023-07-21 2024-10-25 -0.0591 -4.6581 -0.0796 -4.1820 -0.0392 -2.3954       True
  quality          net_margin 188 2021-01-12 2024-10-25 -0.0267 -3.6111 -0.0463 -3.8819 -0.0070 -0.8481       True
 reversal             max5_21 293 2018-11-27 2024-10-25 -0.0219 -3.6277 -0.0398 -4.5343 -0.0041 -0.5107       True
 reversal        resid_rev_21 239 2020-01-03 2024-10-25 -0.0151 -3.3210 -0.0192 -2.9808 -0.0111 -1.7207       True
 reversal              rev_1w 293 2018-11-27 2024-10-25 -0.0135 -2.6399 -0.0121 -1.4071 -0.0149 -2.6602       True
 reversal    price_vs_vwap_20 293 2018-11-27 2024-10-25 -0.0128 -2.2590 -0.0199 -2.0833 -0.0057 -0.9380       True
 reversal              rev_2w 293 2018-11-27 2024-10-25 -0.0102 -1.8831 -0.0135 -1.4989 -0.0069 -1.1410       True
 reversal              rsi_14 293 2018-11-27 2024-10-25 -0.0092 -1.8432 -0.0179 -2.1357 -0.0006 -0.1187       True
 reversal       rev_1m_scaled 293 2018-11-27 2024-10-25 -0.0094 -1.7965 -0.0171 -1.8964 -0.0017 -0.3271       True
     risk        ret_kurt_126 293 2018-11-27 2024-10-25 -0.0293 -8.2626 -0.0326 -5.6894 -0.0260 -6.2021       True
     risk           ulcer_120 293 2018-11-27 2024-10-25 -0.0436 -4.4794 -0.0488 -2.6838 -0.0384 -5.3870       True
     risk          max_dd_120 293 2018-11-27 2024-10-25  0.0401  3.9586  0.0456  2.4320  0.0346  4.4074       True
     risk     downside_vol_60 293 2018-11-27 2024-10-25 -0.0293 -3.7465 -0.0413 -3.2512 -0.0174 -1.9120       True

FAILS the both-halves test (sign flips between halves):
  volume_shock_5, dist_50dma
